town,total_population,median_household_income,per_capita_income,median_age,median_home_value,pct_owner_occupied,pct_in_labor_force,pct_unemployed,pct_white,pct_poverty,pct_bachelors_plus,margin,winner
Brooks,1208,59130,36136.0,45.9,196700,74.61538461538461,61.33200795228628,4.376012965964344,87.99668874172185,19.05550952775476,27.54880694143167,11.784511784511793,1
Brooksville,853,56316,42120.0,61.4,390900,85.20179372197309,47.549668874172184,4.735376044568245,98.24150058616648,8.089097303634233,52.58019525801952,-33.0289193302892,0
Brownfield,1830,60889,31628.0,39.9,287500,87.70614692653673,59.240687679083095,8.34340991535671,90.21857923497268,8.087431693989071,25.263157894736842,4.228121927236963,1
Brownville,983,64063,34539.0,46.5,96700,77.70700636942675,51.09223300970874,11.63895486935867,95.82909460834182,18.311291963377414,13.400576368876079,36.975857687420586,1
Brunswick,22336,74952,44065.0,40.0,376300,71.21059127117694,61.18355590468709,4.53650603440897,89.4788681948424,7.697325505544683,53.94971292813304,-46.657173371306506,0
Buckfield,2403,77917,36991.0,37.7,227700,94.91525423728814,64.46011937059143,3.9562289562289563,93.92426133999167,5.784436121514773,26.511335012594454,29.190515126737523,1
Bucksport,5016,64720,35387.0,42.7,252300,74.34154630416313,60.630110630110636,11.265370884569617,98.58452950558214,6.713286713286713,27.285166940339355,3.484320557491287,1
Burlington,328,48750,24779.0,52.5,99700,93.19727891156462,34.78260869565217,10.227272727272728,98.17073170731707,19.32515337423313,10.526315789473683,51.63934426229508,1
Burnham,953,59261,29436.0,48.4,178100,87.8345498783455,50.756693830034926,6.192660550458716,97.4816369359916,13.641133263378805,20.792079207920793,37.30886850152905,1
Buxton,8512,100144,46067.0,45.5,356800,80.26814339842612,70.57632608989067,1.415184547714668,86.31343984962406,2.3157399788409543,30.344058617394076,6.439100077579525,1
Byron,174,90417,46935.0,58.9,122700,97.75280898876404,46.55172413793103,4.938271604938271,71.83908045977012,14.942528735632186,11.728395061728394,29.411764705882348,1
Calais,3097,64096,35734.0,43.8,111100,73.38028169014085,55.94614809274495,5.815508021390374,94.70455279302551,21.387085753331057,25.31645569620253,18.057455540355676,1
Cambridge,532,63194,34554.0,38.7,214900,93.07359307359307,57.27069351230425,4.296875,94.3609022556391,14.097744360902256,22.131147540983605,51.612903225806456,1
